Name	Current[mA/cm2]	Time[s]	Thickness[nm]	Porosity[%]
ECG30	100	20	1462	48.1
ECG31	200	20	2563	55.5
ECG32	300	20	3399	62
ECG33	400	20	4263	65.1
ECG34	500	20	5056	71.4
ECG35	600	20	6034	79.1
ECG36	700	20	Nan     Nan
ECG37	600	20	5951	80.1
ECG37	600	20	5983	80.7
ECG38	600	20	6258	86.7
ECG101	50	10	Nan	Nan
ECG102	50	20	769	45.7
ECG105	50	5	Nan	Nan
ECG201	100	10	714	55.6
ECG202	100	20	1313	56.1
ECG205	100	5	Nan	Nan
ECG301	200	10	1148	67.8
ECG302	200	20	2253	64.9
ECG305	200	5	Nan	Nan
ECG401	300	10	1591	72.8
ECG402	300	20	3023	70.2
ECG405	300	5	821	73.1
ECG501	400	10	2136	71.8
ECG502	400	20	4177	78.1
ECG505	400	5	1088	70.1
ECG601	500	10	2507	80.2
ECG602	500	20	4960	79.8
ECG605	500	5	1262	76.2
ECG701	600	10	2933	86.3
ECG702	600	20	5905	87.2
ECG705	600	5	1442	82.4
ECG801	700	10	3387	84.8
ECG802	700	20	6853	84.3
ECG805	700	5	Nan	Nan
