# lbd[m] R[-] T[-]
4.000000000000000348e-07 2.581011715938768547e-01 5.936200538847695077e-11
4.020000000000000263e-07 2.582545224987196075e-01 2.170148797862932438e-10
4.040000000000000177e-07 2.580864817504435749e-01 7.670492346138672897e-10
4.060000000000000092e-07 2.549488139852175705e-01 2.618520307636715735e-09
4.080000000000000006e-07 2.426678491779362956e-01 8.803486531385737853e-09
4.100000000000000450e-07 2.155267376392433210e-01 3.086446931512809116e-08
4.120000000000000364e-07 1.871263612125649567e-01 8.686585203467608384e-08
4.140000000000000279e-07 1.681080341287461977e-01 2.498809430001548922e-07
4.160000000000000193e-07 1.600305925157899378e-01 7.024653796715418379e-07
4.180000000000000107e-07 1.578728791068101933e-01 1.906815672857420742e-06
4.200000000000000022e-07 1.578753458469787929e-01 5.023798110728500215e-06
4.220000000000000465e-07 1.586708809699177158e-01 9.207143833220390758e-06
4.240000000000000380e-07 1.593300174140702685e-01 1.667220166722341301e-05
4.260000000000000294e-07 1.597528739552872279e-01 2.989411438998321573e-05
4.280000000000000209e-07 1.599242342689853047e-01 5.315245710563864113e-05
4.300000000000000123e-07 1.598634250234798326e-01 9.380334081736359860e-05
4.320000000000000037e-07 1.598540688923343334e-01 1.374292378926802473e-04
4.340000000000000481e-07 1.596989990301901641e-01 2.004667114354757179e-04
4.360000000000000396e-07 1.594112667588609422e-01 2.912155460331974943e-04
4.380000000000000310e-07 1.590789493521331810e-01 4.213476805192086145e-04
4.400000000000000224e-07 1.585996957874830637e-01 6.073590093612540918e-04
4.420000000000000139e-07 1.582950585886048755e-01 7.771280963801696640e-04
4.440000000000000053e-07 1.579582641594672876e-01 9.918838760322164303e-04
4.460000000000000497e-07 1.574898680873727252e-01 1.263065266544830109e-03
4.480000000000000411e-07 1.571911129713647881e-01 1.604238789352792566e-03
4.500000000000000326e-07 1.565399834197018225e-01 2.033622979629604553e-03
4.520000000000000240e-07 1.564334285315142070e-01 2.557812050368531848e-03
4.540000000000000155e-07 1.556975182345766429e-01 3.212477674671740824e-03
4.560000000000000069e-07 1.557468355113236502e-01 4.022517809138574478e-03
4.580000000000000513e-07 1.547752074531888733e-01 5.032234619067332999e-03
4.600000000000000427e-07 1.550867512501730994e-01 6.273282067032445383e-03
4.620000000000000342e-07 1.540196247718716993e-01 7.141155189112916891e-03
4.640000000000000256e-07 1.545508944452156086e-01 8.104491905706315627e-03
4.660000000000000170e-07 1.536747558436945826e-01 9.201347286187171529e-03
4.680000000000000085e-07 1.537516169878615779e-01 1.042335071193461159e-02
4.700000000000000528e-07 1.537258032273474406e-01 1.179453137337875372e-02
4.720000000000000443e-07 1.525551058828378548e-01 1.360180447211329149e-02
4.740000000000000357e-07 1.544152234814277491e-01 1.561094166235776209e-02
4.760000000000000272e-07 1.517725281345198018e-01 1.798788256939366434e-02
4.780000000000000186e-07 1.538571573794461911e-01 2.058984380709942552e-02
4.800000000000000630e-07 1.531152073253525814e-01 2.361440284443161453e-02
4.820000000000000015e-07 1.512734250908689404e-01 2.571753652175817403e-02
4.840000000000000459e-07 1.554989138696585005e-01 2.778897586384347293e-02
4.859999999999999844e-07 1.513824752319752054e-01 3.029326329359403186e-02
4.880000000000000287e-07 1.528776952076411899e-01 3.278857178027132918e-02
4.900000000000000731e-07 1.561934619360718368e-01 3.538273147679591585e-02
4.920000000000000116e-07 1.500338890289315275e-01 3.824756928113414584e-02
4.940000000000000560e-07 1.554481377761398608e-01 4.077058389969132057e-02
4.959999999999999945e-07 1.564217505898240490e-01 4.364587763009910443e-02
4.980000000000000389e-07 1.495562448624091767e-01 4.712148815273570213e-02
5.000000000000000833e-07 1.585225447025063739e-01 4.991957253457698224e-02
5.020000000000000218e-07 1.570163909756386866e-01 5.314866457553134999e-02
5.040000000000000661e-07 1.495117184257991061e-01 5.695032881104363648e-02
5.060000000000000046e-07 1.611783855861006476e-01 5.965021312423767624e-02
5.080000000000000490e-07 1.593632048937142220e-01 6.340974362001591813e-02
5.099999999999999875e-07 1.493930565215026429e-01 6.800734887847723065e-02
5.120000000000000319e-07 1.634332484791474471e-01 7.058022867093874386e-02
5.140000000000000763e-07 1.646503645071608346e-01 7.428784865842391616e-02
5.160000000000000148e-07 1.496872864412181758e-01 7.962438729471545129e-02
5.180000000000000591e-07 1.632977933006793392e-01 8.252500403624511705e-02
5.199999999999999976e-07 1.727316281453795677e-01 8.587039262401320594e-02
5.220000000000000420e-07 1.532773193877934592e-01 9.280890837623834155e-02
5.239999999999999805e-07 1.584345580333582082e-01 9.742210769876911980e-02
5.260000000000000249e-07 1.815788557037707751e-01 1.000564012453238061e-01
5.280000000000000693e-07 1.659795982513099233e-01 1.074732727499635443e-01
5.300000000000000078e-07 1.513741034172209343e-01 1.151815878113700009e-01
5.320000000000000522e-07 1.827249691286804145e-01 1.171714662653354083e-01
5.339999999999999907e-07 1.874224921444807013e-01 1.228854205619605150e-01
5.360000000000000350e-07 1.531024217671200505e-01 1.347971701683938761e-01
5.380000000000000794e-07 1.714506278060512201e-01 1.389074321681295077e-01
5.400000000000000179e-07 2.079778950476839083e-01 1.399154335707406549e-01
5.420000000000000623e-07 1.800667851487622872e-01 1.471953100944894399e-01
5.440000000000000008e-07 1.533649375524221425e-01 1.542351128853562958e-01
5.460000000000000452e-07 1.978351730253563590e-01 1.485365195110721070e-01
5.479999999999999837e-07 2.238708725656432807e-01 1.459978056585775064e-01
5.500000000000000281e-07 1.796159067462250736e-01 1.561369338347704805e-01
5.520000000000000724e-07 1.668649582747134819e-01 1.594852503458352444e-01
5.540000000000000109e-07 2.311520103263233483e-01 1.483886820830252196e-01
5.560000000000000553e-07 2.352438688369751230e-01 1.484563613893713496e-01
5.579999999999999938e-07 1.744178579137161955e-01 1.601916170698771680e-01
5.600000000000000382e-07 2.045902147882394106e-01 1.542776749046264329e-01
5.620000000000000826e-07 2.731189644950843265e-01 1.435213222398192268e-01
5.640000000000000211e-07 2.382980730657078550e-01 1.521530883900816811e-01
5.660000000000000654e-07 1.834713890950996629e-01 1.637059118853341211e-01
5.680000000000000039e-07 2.680902184673881750e-01 1.477262364974404329e-01
5.700000000000000483e-07 3.141450853808385735e-01 1.394742281130016415e-01
5.719999999999999868e-07 2.306108991455688151e-01 1.536396086657266236e-01
5.740000000000000312e-07 2.412356076434425678e-01 1.474872332682406473e-01
5.760000000000000756e-07 3.599248858205961743e-01 1.218852740249176114e-01
5.780000000000000141e-07 3.260824355336176539e-01 1.240714799105664401e-01
5.800000000000000585e-07 2.562209103174603597e-01 1.282616031364079978e-01
5.819999999999999970e-07 3.978171897670654822e-01 9.750517510322945225e-02
5.840000000000000413e-07 4.216934206619863956e-01 8.701863008384043419e-02
5.860000000000000857e-07 3.328670770245596433e-01 8.681161621153923869e-02
5.880000000000000242e-07 4.945249627651362445e-01 5.489799122085376598e-02
5.900000000000000686e-07 5.012996142764201135e-01 4.190381445458496446e-02
