# thickness[m] porosity[-]
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
7.027700e-08 5.000000e-01
9.421418e-08 7.000000e-01
