# lbd[m] R[-] T[-]
4.000000000000000348e-07 9.377197463952152701e-02 2.114402897363435119e-33
4.045454545454545753e-07 1.024771019147314444e-01 4.464903847694780439e-33
4.090909090909091157e-07 1.208309898458411052e-01 9.224638705660398883e-33
4.136363636363636561e-07 1.240951402620812105e-01 1.671893272152364505e-32
4.181818181818181966e-07 1.183437207908430849e-01 2.912569412558705661e-32
4.227272727272727900e-07 1.193647037708757269e-01 4.416545358124251661e-32
4.272727272727272775e-07 1.146220490897159050e-01 6.180719855196780025e-32
4.318181818181818179e-07 1.104866242532186738e-01 8.235475882592148063e-32
4.363636363636364113e-07 1.195638083749520908e-01 1.009921519328751995e-31
4.409090909090909517e-07 1.088101802054765865e-01 3.002942612399999499e-31
4.454545454545454921e-07 1.029250455210981852e-01 7.236047067181103890e-29
4.500000000000000326e-07 1.202729267200094432e-01 1.501961886118852496e-26
4.545454545454545730e-07 1.182460892813355507e-01 2.516607802414933477e-24
4.590909090909091664e-07 9.543131075119767881e-02 3.864678858131254767e-22
4.636363636363636539e-07 1.010497685226866421e-01 1.053021029961102256e-20
4.681818181818181943e-07 1.279286135525937451e-01 1.761884764173176749e-19
4.727272727272727877e-07 1.273988520546848746e-01 3.645075265266133410e-18
4.772727272727272752e-07 9.717742752089471303e-02 8.595186284993159169e-17
4.818181818181818156e-07 8.367146500044807256e-02 1.183075909144427134e-15
4.863636363636363561e-07 1.126767809890930477e-01 7.495063043024961490e-15
4.909090909090910024e-07 1.462589189163660541e-01 4.376414199720572851e-14
4.954545454545455428e-07 1.429699047248504939e-01 2.221399227988169629e-13
5.000000000000000833e-07 1.034781248740349047e-01 1.139847103042535060e-12
5.045454545454546237e-07 7.283678666393629542e-02 4.881463108042211660e-12
5.090909090909091641e-07 9.344656681869563386e-02 1.920279424852497020e-11
5.136363636363637046e-07 1.469625344766608277e-01 6.524329981414223986e-11
5.181818181818182450e-07 1.832679165828392243e-01 2.159498648258919043e-10
5.227272727272727854e-07 1.743438922897584953e-01 7.838619688247797403e-10
5.272727272727273259e-07 1.240668948245434999e-01 3.036050581940878571e-09
5.318181818181818663e-07 6.865773456527186902e-02 1.169444703075592736e-08
5.363636363636364067e-07 7.021072536609114512e-02 4.223286173482629793e-08
5.409090909090910531e-07 1.441619162475812621e-01 1.191821710017247440e-07
5.454545454545454876e-07 2.283404733367665196e-01 1.860354203236850640e-07
5.500000000000000281e-07 2.796360607737727322e-01 2.980777657691415695e-07
5.545454545454545685e-07 2.759537616012593397e-01 4.707382081495669104e-07
5.590909090909091089e-07 2.078723899894781013e-01 8.029067595513822681e-07
5.636363636363636494e-07 9.951973805324985933e-02 1.762680050219961885e-06
5.681818181818182957e-07 6.323964522755795570e-02 3.635072759596850445e-06
5.727272727272728361e-07 2.218566410943300926e-01 5.071916084500537172e-06
5.772727272727272707e-07 4.503087051338032776e-01 5.297357688880532386e-06
5.818181818181819170e-07 6.131793544694252862e-01 5.287642083891604110e-06
5.863636363636364574e-07 7.081759969149005185e-01 5.499103219073083199e-06
5.909090909090909979e-07 7.640674855222742146e-01 5.974527684270368027e-06
5.954545454545455383e-07 7.975796535400092591e-01 6.570314116606904584e-06
6.000000000000000787e-07 8.188763519679560510e-01 7.594442474042533968e-06
6.045454545454545133e-07 8.324010127733741937e-01 8.647858502171465998e-06
6.090909090909091596e-07 8.418181377305473667e-01 1.021626964974976756e-05
6.136363636363637000e-07 8.470209121778512484e-01 1.097783937679275577e-05
6.181818181818182405e-07 8.503556731794928991e-01 1.175934785615286929e-05
6.227272727272727809e-07 8.530119126172388544e-01 1.305773619373294421e-05
6.272727272727273213e-07 8.552785861778239296e-01 1.492763169882239575e-05
6.318181818181818618e-07 8.583863432089978707e-01 1.883296770399304384e-05
6.363636363636364022e-07 8.629628123922238325e-01 2.717412486135175148e-05
6.409090909090910485e-07 8.664418448099215908e-01 3.786702253181143367e-05
6.454545454545455890e-07 8.664911728439526062e-01 4.392529696535203210e-05
6.500000000000000235e-07 8.658783925595050501e-01 5.187781100513700748e-05
6.545454545454545640e-07 8.658443141574128088e-01 6.975662183389039726e-05
6.590909090909092103e-07 8.643903652839833862e-01 9.557094342790667353e-05
6.636363636363637507e-07 8.613072635014830114e-01 1.316191765457611930e-04
6.681818181818182911e-07 8.559180971356952217e-01 1.839598185876958696e-04
6.727272727272728316e-07 8.470321555144670889e-01 2.617716756558996624e-04
6.772727272727272661e-07 8.332773909380438715e-01 3.802381520106462858e-04
6.818181818181819125e-07 8.126193168449776794e-01 5.644468273548162995e-04
6.863636363636364529e-07 7.817754942485836134e-01 8.568897358727668029e-04
6.909090909090909933e-07 7.367793955582245813e-01 1.327628490597934858e-03
6.954545454545455338e-07 6.738198733569038534e-01 2.067686502854903987e-03
7.000000000000000742e-07 5.843828151472028054e-01 3.265086297157480423e-03
7.045454545454545088e-07 4.611077873853037246e-01 5.148242400950909549e-03
7.090909090909091551e-07 3.094230302010376743e-01 7.919199054210408761e-03
7.136363636363638014e-07 1.571075310369790257e-01 1.141162212085544692e-02
7.181818181818182359e-07 5.287968733686041617e-02 1.497433780126092122e-02
7.227272727272727764e-07 2.854396726427983755e-02 1.774770902034986803e-02
7.272727272727273168e-07 6.883513666397771125e-02 1.949971551896505229e-02
7.318181818181819631e-07 1.367893854836276513e-01 2.057905909506913683e-02
7.363636363636363977e-07 2.040478729316828888e-01 2.145861877251127939e-02
7.409090909090910440e-07 2.571758091086728815e-01 2.256467018075000025e-02
7.454545454545455844e-07 2.924313236835315855e-01 2.408700005534341812e-02
7.500000000000000190e-07 3.123843678927785694e-01 2.619313778183228816e-02
7.545454545454545594e-07 3.180956021945234302e-01 2.891563125296786954e-02
7.590909090909092058e-07 3.099895183051590841e-01 3.252564377353349412e-02
7.636363636363637462e-07 2.904576303890781808e-01 3.697363561087350925e-02
7.681818181818182866e-07 2.612102944418852601e-01 4.246210687136184325e-02
7.727272727272728271e-07 2.237312864826898340e-01 4.906710332493721682e-02
7.772727272727272616e-07 1.807529344216134426e-01 5.682697676575219209e-02
7.818181818181819079e-07 1.367065900655717314e-01 6.553181339245461867e-02
7.863636363636364484e-07 9.625896579415037235e-02 7.478877006972148300e-02
7.909090909090909888e-07 6.313558936327141879e-02 8.436719219780690338e-02
7.954545454545455292e-07 4.107781781713529951e-02 9.363472804526450088e-02
8.000000000000000697e-07 3.261834154855482865e-02 1.023166902473630346e-01
8.045454545454545042e-07 3.740027999326169666e-02 1.097838290958435270e-01
8.090909090909091505e-07 5.301842807606919200e-02 1.163514725731975979e-01
8.136363636363637969e-07 7.606645658463923043e-02 1.218773483869542568e-01
8.181818181818183373e-07 1.028897160612750467e-01 1.268658513319742553e-01
8.227272727272727719e-07 1.306602776350271888e-01 1.314629654286928739e-01
8.272727272727273123e-07 1.566347394318045594e-01 1.361180600619147640e-01
8.318181818181819586e-07 1.783565606096410572e-01 1.412698016337198270e-01
8.363636363636363932e-07 1.949680857732152828e-01 1.470896215495880455e-01
8.409090909090910395e-07 2.067498946714269870e-01 1.538425356626926532e-01
8.454545454545455799e-07 2.135526399572631462e-01 1.614386295522194648e-01
8.500000000000000145e-07 2.154877369011469757e-01 1.703726854083250919e-01
